qkey,SATIS_W86,PERSFIN_W86,SELFNAT_W86,AFROLATINO_W86,POL1JB_W86,HISPSIT_W86,RACESURV56_W86,SKINCLR_W86,F_RACECMB,F_GENDER,F_PARTYSUM_FINAL,F_EDUCCAT3,PRIMARY_LANGUAGE_W86,immgen,discrimlv
1523,2,3,2,2,2,1,4,2,5,1,2,2,2,2,3
1524,2,3,2,2,2,2,1,1,1,1,1,1,1,3,1
1526,2,3,2,2,2,3,1,1,5,2,1,1,2,2,0
1530,2,3,4,1,1,2,2,3,5,2,9,3,3,1,
1533,1,3,4,1,1,1,7,7,2,1,9,2,3,1,2
1534,1,3,3,2,1,3,1,3,1,2,1,3,3,1,1
1540,1,1,2,2,1,3,2,7,5,1,2,1,1,2,0
1542,1,2,3,2,2,3,2,3,1,1,2,2,1,1,0
1546,2,2,2,2,1,2,1,1,5,2,2,1,1,2,0
1547,1,1,2,2,1,3,2,2,1,1,9,1,1,2,6
1548,2,2,3,2,1,3,2,5,5,2,2,1,2,1,6
1560,1,1,2,2,1,1,1,2,1,2,2,3,3,2,0
1563,1,3,4,2,2,1,2,,1,2,2,2,3,1,0
1569,2,3,2,2,1,3,2,1,1,2,2,2,1,3,0
1571,1,,4,1,2,2,2,2,1,2,1,1,2,1,0
1572,1,2,4,2,1,1,2,6,1,1,2,3,3,1,0
1573,2,3,4,2,1,1,1,2,1,2,1,3,1,1,0
1581,2,3,4,2,2,3,2,4,1,2,1,2,3,1,0
1583,1,3,4,2,1,2,8,3,5,1,2,3,3,1,1
1584,2,3,2,2,2,3,2,4,5,2,2,1,1,2,0
1588,1,1,2,2,1,1,2,3,1,1,2,1,2,2,8
1594,1,2,2,2,1,3,7,4,4,1,2,1,1,3,6
1599,2,2,2,2,1,1,2,1,1,2,2,3,2,2,4
1600,1,2,2,2,1,1,2,4,1,1,2,1,2,2,0
1603,1,2,3,1,1,1,3,3,5,1,2,3,3,1,3
1604,1,2,4,2,1,1,2,5,1,2,2,2,3,1,0
1606,1,2,2,2,1,3,2,1,1,1,2,1,1,2,0
1608,2,2,2,1,1,2,3,5,2,2,2,1,1,2,0
1609,1,3,4,2,1,2,2,4,5,2,2,2,3,1,3
1614,2,3,4,2,1,1,2,1,1,2,2,1,3,1,0
1618,1,3,4,2,1,3,2,1,1,2,2,3,3,1,0
1620,1,2,4,2,1,1,2,2,1,2,2,3,2,1,0
1624,1,3,2,2,1,3,2,3,1,1,2,1,1,2,0
1627,2,2,2,2,2,3,8,1,4,2,2,1,2,2,0
1638,1,3,3,2,1,1,2,1,5,2,2,2,3,1,0
1639,1,2,4,2,1,3,2,3,1,1,2,1,3,1,5
1643,2,2,2,2,2,2,7,5,4,1,1,1,1,3,0
1645,2,3,2,2,1,3,6,2,1,2,2,2,1,3,0
1646,1,2,4,2,1,3,2,2,4,1,2,1,3,1,3
1647,2,3,2,2,,2,2,4,1,2,2,1,2,2,0
1651,2,2,2,2,1,2,2,2,1,2,2,2,1,3,0
1652,1,3,1,1,1,2,2,8,5,2,2,2,3,3,1
1656,2,3,4,2,1,1,2,,1,2,2,2,3,1,2
1659,1,3,4,2,1,3,2,2,5,1,2,3,3,1,3
1660,2,3,2,2,2,3,2,3,1,2,1,2,1,3,4
1661,2,3,2,2,2,3,2,2,1,2,1,3,2,2,2
1663,2,4,2,2,1,3,2,3,4,1,2,1,1,3,2
1665,2,1,2,2,1,2,4,3,3,2,2,1,1,3,2
1666,2,3,4,1,2,2,2,4,1,1,1,3,2,1,0
1673,1,3,4,2,1,1,2,2,1,2,2,1,3,1,0
1675,1,2,2,2,1,3,2,2,1,2,9,1,2,2,0
1678,2,1,2,2,2,3,2,2,5,1,1,1,1,2,0
1679,2,3,1,2,2,3,2,4,5,2,1,3,2,3,0
1681,2,2,4,2,,3,2,4,1,1,2,3,3,1,0
1682,1,3,,2,1,3,2,2,1,2,1,2,3,,0
1685,1,1,2,2,1,3,2,3,1,2,2,2,1,3,0
1692,1,3,4,2,1,3,2,3,1,2,2,1,3,1,0
1699,1,3,2,2,1,3,2,6,1,1,2,1,2,2,2
1702,1,3,4,2,1,2,2,3,5,2,2,2,3,1,1
1709,2,3,4,2,1,2,2,2,1,1,1,1,2,1,3
1718,1,2,4,2,2,3,7,2,1,1,1,3,3,1,1
1721,1,3,3,,1,3,2,4,,1,2,3,3,1,1
1724,2,3,4,2,2,2,1,1,1,2,1,2,2,1,0
1726,2,3,2,2,1,2,2,4,5,2,2,1,1,2,4
1732,1,1,2,2,1,1,7,4,4,1,2,1,1,3,1
1733,1,3,,2,2,2,2,3,5,2,2,3,3,,3
1735,1,2,2,2,1,3,2,4,1,2,2,1,1,3,3
1738,1,3,4,2,1,3,2,2,5,2,1,2,2,1,0
1741,2,3,4,2,1,3,2,3,1,2,1,1,3,1,1
1742,2,3,4,2,1,2,2,5,1,2,2,2,3,1,6
1743,1,2,2,2,1,1,2,4,1,1,1,2,2,2,5
1745,2,2,2,2,1,3,8,6,5,1,2,1,1,3,7
1749,1,2,4,2,1,3,2,3,5,2,2,3,3,1,2
1750,1,,4,2,2,2,2,3,5,2,1,3,3,1,5
1754,1,2,4,2,1,1,1,3,1,2,2,1,3,1,1
1756,2,3,4,2,1,2,2,3,1,1,2,1,3,1,5
1762,1,4,4,2,1,3,2,3,1,2,2,2,3,1,0
1769,2,3,4,2,2,2,2,2,1,2,1,1,3,1,0
1774,2,3,,2,1,2,2,,1,2,1,2,3,,5
1776,2,3,4,2,1,2,2,2,1,2,2,2,3,1,0
1779,2,2,3,1,1,3,1,2,1,2,2,2,2,1,0
1780,1,2,4,2,1,3,2,4,5,1,2,2,2,1,4
1782,2,3,2,2,2,3,2,2,1,2,1,1,2,2,0
1785,1,2,2,2,1,1,2,4,1,1,2,1,2,2,2
1790,1,3,4,2,1,3,2,4,5,2,2,3,3,1,0
1793,2,1,2,2,2,3,2,3,1,2,1,1,1,2,0
1796,1,3,4,2,1,1,2,3,1,2,2,3,3,1,0
1800,1,3,4,2,1,3,2,4,1,2,2,2,2,1,7
1801,2,3,2,2,1,1,2,2,1,1,2,2,2,2,1
